epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.02962,1.21382,3.25404,1.79249,0.00408,0.88889,0.31741,0.10855,0.147,1.35477,3.44148,2.28184,0.0009,0.0009,0.0009
2,1.80264,1.06623,3.14243,1.60765,0.00372,0.88889,0.38625,0.10535,0.19069,1.28994,3.41198,2.14393,0.0018373,0.0018373,0.0018373
3,2.67787,1.08842,3.13136,1.60967,0.00458,1,0.4937,0.18413,0.28636,1.18562,3.38025,1.96288,0.0027086,0.0027086,0.0027086
4,3.41294,0.96543,3.01778,1.5362,0.00419,1,0.52997,0.45092,0.33904,1.15115,3.36598,1.84922,0.0035139,0.0035139,0.0035139
5,4.13007,0.96598,3.00764,1.4871,0.00427,1,0.57708,0.22972,0.33405,1.05421,3.3255,1.72674,0.0042532,0.0042532,0.0042532
6,4.89925,0.98561,2.99913,1.49284,0.00454,1,0.54077,0.42657,0.38722,1.04516,3.3045,1.77938,0.0049265,0.0049265,0.0049265
7,5.63022,0.99306,2.87788,1.47818,0.00454,1,0.54077,0.42657,0.38722,1.04516,3.3045,1.77938,0.0055338,0.0055338,0.0055338
8,6.39341,0.87536,2.7575,1.3878,0.00373,0.88889,0.46952,0.38557,0.35474,0.8993,3.18067,1.63528,0.0060751,0.0060751,0.0060751
9,7.11606,0.89561,2.63511,1.28943,0.00504,1,0.44459,0.35664,0.29761,1.05179,2.99724,1.78068,0.0065504,0.0065504,0.0065504
10,7.81715,0.97271,2.55118,1.42397,0.00504,1,0.44459,0.35664,0.29761,1.05179,2.99724,1.78068,0.0069597,0.0069597,0.0069597
11,8.51987,0.94659,2.28702,1.32388,0.53398,0.47267,0.45106,0.41972,0.32793,1.20695,2.64349,1.95207,0.0067,0.0067,0.0067
12,9.26466,0.93499,2.26396,1.35036,0.55506,0.50413,0.43466,0.39159,0.29212,1.3467,2.2348,2.28412,0.00637,0.00637,0.00637
13,9.95103,0.95115,2.17178,1.38973,0.55506,0.50413,0.43466,0.39159,0.29212,1.3467,2.2348,2.28412,0.00604,0.00604,0.00604
14,10.6845,0.90687,1.99781,1.32641,0.62985,0.71111,0.67866,0.50822,0.40706,1.19202,2.28082,1.93352,0.00571,0.00571,0.00571
15,11.4541,0.94053,1.98733,1.39469,0.6513,0.70265,0.69443,0.56131,0.43463,1.16419,2.34155,1.82844,0.00538,0.00538,0.00538
16,12.1518,0.98219,1.83993,1.36767,0.6513,0.70265,0.69443,0.56131,0.43463,1.16419,2.34155,1.82844,0.00505,0.00505,0.00505
17,12.8527,1.06234,1.89652,1.35267,0.70981,0.77773,0.74134,0.60029,0.47384,1.16009,2.08734,1.77338,0.00472,0.00472,0.00472
18,13.6386,0.94535,1.65135,1.33999,0.70981,0.77773,0.74134,0.60029,0.47384,1.16009,2.08734,1.77338,0.00439,0.00439,0.00439
19,14.3623,0.91925,1.59677,1.306,0.74017,0.77778,0.74173,0.56783,0.47083,1.19506,1.89946,1.83912,0.00406,0.00406,0.00406
20,15.0707,0.91263,1.64658,1.31394,0.70484,0.77778,0.8129,0.51925,0.46469,1.29058,2.00512,1.83349,0.00373,0.00373,0.00373
21,15.9468,0.82453,2.2584,1.30905,0.70484,0.77778,0.8129,0.51925,0.46469,1.29058,2.00512,1.83349,0.0034,0.0034,0.0034
22,16.6835,0.70082,2.23377,1.24603,0.71585,0.88889,0.81934,0.58659,0.48635,1.21762,1.94729,1.80124,0.00307,0.00307,0.00307
23,17.3947,0.81234,2.27551,1.32454,0.77541,0.88197,0.85933,0.5783,0.48022,1.28327,2.21023,1.82829,0.00274,0.00274,0.00274
24,18.148,0.69918,2.29855,1.26678,0.77541,0.88197,0.85933,0.5783,0.48022,1.28327,2.21023,1.82829,0.00241,0.00241,0.00241
25,18.9083,0.73966,2.01302,1.30787,0.76378,0.77778,0.79686,0.44459,0.40991,1.34473,2.24121,1.94276,0.00208,0.00208,0.00208
26,19.616,0.72282,2.09009,1.28224,0.76378,0.77778,0.79686,0.44459,0.40991,1.34473,2.24121,1.94276,0.00175,0.00175,0.00175
27,20.3895,0.67121,1.98828,1.181,0.81304,0.77778,0.8169,0.44184,0.40126,1.30548,2.19552,1.90001,0.00142,0.00142,0.00142
28,21.1591,0.71927,1.93803,1.33762,0.63993,0.88889,0.79781,0.43136,0.41659,1.25578,2.20464,1.80486,0.00109,0.00109,0.00109
29,21.9666,0.61291,1.94303,1.22381,0.63993,0.88889,0.79781,0.43136,0.41659,1.25578,2.20464,1.80486,0.00076,0.00076,0.00076
30,22.7617,0.63298,1.89984,1.22407,0.68763,0.87596,0.84017,0.54584,0.47064,1.19637,2.0385,1.75291,0.00043,0.00043,0.00043
